transmition_rate,percent_quarantine,total_infections,num_cities_infected
0.5,0.05,97247,1289
0.5,0.05,96585,1292
0.5,0.05,95505,1292
0.5,0.05,96963,1291
0.5,0.05,95747,1286
0.5,0.05,95762,1292
0.5,0.05,95368,1292
0.5,0.05,97338,1290
0.5,0.05,89758,1291
0.5,0.05,95224,1286
0.5,0.05,96846,1292
0.5,0.05,94577,1290
0.5,0.05,93552,1290
0.5,0.05,92081,1290
0.5,0.05,92374,1292
0.5,0.05,95829,1292
0.5,0.05,96334,1292
0.5,0.05,96483,1289
0.5,0.05,95321,1292
0.5,0.05,96199,1290
0.5,0.05,96838,1289
0.5,0.05,89152,1291
0.5,0.05,96549,1292
0.5,0.05,95182,1287
0.5,0.1,95330,1283
0.5,0.1,95515,1288
0.5,0.1,89154,1286
0.5,0.1,93203,1286
0.5,0.1,95744,1282
0.5,0.1,95533,1284
0.5,0.1,93306,1274
0.5,0.1,94248,1282
0.5,0.1,69019,1287
0.5,0.1,95008,1288
0.5,0.1,92878,1265
0.5,0.1,75691,1283
0.5,0.1,96134,1284
0.5,0.1,95280,1287
0.5,0.1,96476,1287
0.5,0.1,94439,1286
0.5,0.1,94148,1286
0.5,0.1,92481,1286
0.5,0.1,94106,1286
0.5,0.1,90343,1281
0.5,0.1,91854,1287
0.5,0.1,95306,1284
0.5,0.1,95410,1273
0.5,0.1,90365,1281
0.5,0.1,91040,1285
0.5,0.1,95209,1285
0.5,0.1,95264,1276
0.5,0.1,91240,1284
0.5,0.1,95279,1288
0.5,0.1,96070,1286
0.5,0.1,90596,1281
0.5,0.1,95179,1288
0.5,0.1,95442,1282
0.5,0.1,95785,1280
0.5,0.1,93670,1287
0.5,0.1,93752,1288
0.5,0.1,94329,1283
0.5,0.1,94340,1282
0.5,0.1,95706,1285
0.5,0.1,95034,1278
0.5,0.1,92419,1272
0.5,0.1,81646,1280
0.5,0.1,93968,1288
0.5,0.1,93606,1287
0.5,0.1,94910,1285
0.5,0.1,94907,1280
0.5,0.1,95752,1286
0.5,0.1,94027,1280
0.5,0.1,93465,1281
0.5,0.1,95374,1287
0.5,0.1,93686,1284
0.5,0.1,94243,1287
0.5,0.1,93075,1286
0.5,0.1,91242,1287
0.5,0.1,94378,1279
0.5,0.1,91992,1285
0.5,0.1,94789,1283
0.5,0.1,95017,1275
0.5,0.1,93999,1276
0.5,0.1,90178,1286
0.5,0.1,93553,1287
0.5,0.1,88956,1283
0.5,0.1,95400,1282
0.5,0.1,90938,1278
0.5,0.1,88175,1286
0.5,0.1,85116,1279
0.5,0.1,95294,1284
0.5,0.1,95964,1287
0.5,0.1,85012,1287
0.5,0.1,1,1
0.5,0.1,94384,1288
0.5,0.1,95608,1287
0.5,0.1,95452,1286
0.5,0.1,94978,1286
0.5,0.1,95174,1285
0.5,0.1,95159,1282
0.5,0.1,92640,1284
0.5,0.1,1,1
0.5,0.1,90392,1284
0.5,0.1,90789,1285
0.5,0.1,95298,1286
0.5,0.1,94695,1286
0.5,0.1,95543,1284
0.5,0.1,95621,1282
0.5,0.1,88479,1288
0.5,0.1,95206,1288
0.5,0.1,93159,1283
0.5,0.1,94167,1285
0.5,0.1,92810,1287
0.5,0.1,94580,1282
0.5,0.1,1,1
0.5,0.1,88444,1280
0.5,0.1,94702,1287
0.5,0.1,93308,1271
0.5,0.1,93816,1282
0.5,0.1,95810,1287
0.5,0.1,95588,1286
0.5,0.1,95555,1284
0.5,0.1,90642,1285
0.5,0.1,72488,1286
0.5,0.25,89063,1256
0.5,0.25,85500,1250
0.5,0.25,90847,1265
0.5,0.25,90402,1262
0.5,0.25,1,1
0.5,0.25,90028,1255
0.5,0.25,91639,1265
0.5,0.25,86127,1266
0.5,0.25,89521,1262
0.5,0.25,86416,1244
0.5,0.25,90425,1252
0.5,0.25,59496,1262
0.5,0.25,92417,1271
0.5,0.25,83488,1240
0.5,0.25,90148,1269
0.5,0.25,88233,1245
0.5,0.25,89288,1259
0.5,0.25,86127,1267
0.5,0.25,92144,1268
0.5,0.25,93185,1266
0.5,0.25,92534,1269
0.5,0.25,91910,1271
0.5,0.25,77376,1260
0.5,0.25,93468,1271
0.5,0.25,91728,1263
0.5,0.25,88843,1271
0.5,0.25,91941,1267
0.5,0.25,89290,1258
0.5,0.25,92513,1257
0.5,0.25,90912,1254
0.5,0.25,92260,1262
0.5,0.25,91477,1261
0.5,0.25,90408,1270
0.5,0.25,83021,1262
0.5,0.25,88460,1266
0.5,0.25,92202,1272
0.5,0.25,88092,1270
0.5,0.25,86631,1263
0.5,0.25,92965,1275
0.5,0.25,92911,1269
0.5,0.25,92466,1252
0.5,0.25,91684,1263
0.5,0.25,89318,1264
0.5,0.25,92355,1263
0.5,0.25,88695,1250
0.5,0.25,88047,1269
0.5,0.25,91020,1245
0.5,0.25,91691,1265
0.5,0.25,91695,1265
0.5,0.25,90225,1258
0.5,0.25,86999,1262
0.5,0.25,87723,1261
0.5,0.25,90419,1261
0.5,0.25,89777,1263
0.5,0.25,88508,1273
0.5,0.25,78262,1254
0.5,0.25,92113,1269
0.5,0.25,91411,1261
0.5,0.25,86202,1264
0.5,0.25,90526,1242
0.5,0.25,91964,1273
0.5,0.25,88789,1252
0.5,0.25,91943,1264
0.5,0.25,91739,1264
0.5,0.25,91415,1263
0.5,0.25,89499,1271
0.5,0.25,77077,1256
0.5,0.25,89037,1258
0.5,0.25,90684,1265
0.5,0.25,90803,1263
0.5,0.25,93129,1271
0.5,0.25,90566,1260
0.5,0.25,91313,1271
0.5,0.25,87982,1261
0.5,0.25,94233,1274
0.5,0.25,90876,1270
0.5,0.25,91279,1269
0.5,0.25,89668,1268
0.5,0.25,92507,1262
0.5,0.25,91688,1267
0.5,0.25,91066,1267
0.5,0.25,90665,1258
0.5,0.25,89715,1272
0.5,0.25,82122,1271
0.5,0.25,91292,1273
0.5,0.25,91307,1271
0.5,0.25,86088,1268
0.5,0.25,88322,1263
0.5,0.25,77381,1267
0.5,0.25,90736,1254
0.5,0.25,1,1
0.5,0.25,88311,1265
0.5,0.25,89242,1269
0.5,0.25,90208,1258
0.5,0.25,89564,1257
0.5,0.25,91879,1271
0.5,0.25,90650,1255
0.5,0.25,93361,1270
0.5,0.25,89744,1267
0.5,0.25,87092,1256
0.5,0.5,81272,1224
0.5,0.5,81829,1201
0.5,0.5,71875,1207
0.5,0.5,80926,1217
0.5,0.5,81054,1210
0.5,0.5,80151,1204
0.5,0.5,1,1
0.5,0.5,71464,1208
0.5,0.5,82502,1217
0.5,0.5,83085,1199
0.5,0.5,71807,1181
0.5,0.5,85914,1233
0.5,0.5,84189,1215
0.5,0.5,82618,1206
0.5,0.5,83282,1213
0.5,0.5,81009,1215
0.5,0.5,1,1
0.5,0.5,84920,1214
0.5,0.5,81057,1214
0.5,0.5,78573,1196
0.5,0.5,1,1
0.5,0.5,85381,1245
0.5,0.5,83706,1210
0.5,0.5,1,1
0.5,0.5,76516,1197
0.5,0.5,81731,1213
0.5,0.5,81755,1209
0.5,0.5,75426,1205
0.5,0.5,80587,1209
0.5,0.5,73817,1222
0.5,0.5,82235,1228
0.5,0.5,83168,1211
0.5,0.5,80851,1198
0.5,0.5,83599,1220
0.5,0.5,84325,1197
0.5,0.5,1,1
0.5,0.5,75241,1211
0.5,0.5,83995,1216
0.5,0.5,1,1
0.5,0.5,84325,1218
0.5,0.5,1,1
0.5,0.5,83926,1222
0.5,0.5,1,1
0.5,0.5,69459,1187
0.5,0.5,79028,1220
0.5,0.5,79385,1212
0.5,0.5,84885,1236
0.5,0.5,74553,1177
0.5,0.5,67808,1227
0.5,0.5,80876,1204
0.5,0.5,1,1
0.5,0.5,82193,1233
0.5,0.5,81583,1231
0.5,0.5,83168,1222
0.5,0.5,73813,1207
0.5,0.5,75063,1225
0.5,0.5,84425,1201
0.5,0.5,83096,1241
0.5,0.5,79938,1219
0.5,0.5,82052,1228
0.5,0.5,84035,1232
0.5,0.5,79764,1205
0.5,0.5,84882,1229
0.5,0.5,80527,1228
0.5,0.5,1,1
0.5,0.5,78527,1223
0.5,0.5,75317,1186
0.5,0.5,81785,1204
0.5,0.5,81236,1234
0.5,0.5,83300,1217
0.5,0.5,78996,1219
0.5,0.5,69549,1228
0.5,0.5,79942,1203
0.5,0.5,83053,1196
0.5,0.5,71432,1226
0.5,0.5,82838,1198
0.5,0.5,80402,1223
0.5,0.5,80755,1237
0.5,0.5,82159,1232
0.5,0.5,80206,1213
0.5,0.5,78151,1168
0.5,0.5,78983,1193
0.5,0.5,82498,1198
0.5,0.5,84045,1212
0.5,0.5,77212,1230
0.5,0.5,81707,1191
0.5,0.5,82696,1219
0.5,0.5,75789,1221
0.5,0.5,84959,1213
0.5,0.5,69255,1217
0.5,0.5,83717,1205
0.5,0.5,83866,1222
0.5,0.5,79871,1218
0.5,0.5,81606,1213
0.5,0.5,68842,1208
0.5,0.5,77719,1224
0.5,0.5,84817,1214
0.5,0.5,81135,1212
0.5,0.5,81490,1211
0.5,0.5,77022,1223
