transmission,quarantine,total infections,cities infected
0.5,0.1,80482,1125
0.5,0.1,68562,1121
0.5,0.1,73358,1116
0.5,0.1,76185,1101
0.5,0.1,80695,1114
0.5,0.1,77608,1109
0.5,0.1,78772,1120
0.5,0.1,1,1
0.5,0.1,75372,1053
0.5,0.1,78770,1083
0.5,0.1,80037,1110
0.5,0.1,1,1
0.5,0.1,78892,1094
0.5,0.1,81441,1118
0.5,0.1,77101,1084
0.5,0.1,1,1
0.5,0.1,78849,1103
0.5,0.1,76174,1108
0.5,0.1,78270,1109
0.5,0.1,77557,1124
0.5,0.1,78247,1105
0.5,0.1,79675,1136
0.5,0.1,72858,1112
0.5,0.1,78828,1103
0.5,0.1,76290,1084
0.5,0.1,76665,1109
0.5,0.1,77615,1105
0.5,0.1,62483,1111
0.5,0.1,1,1
0.5,0.1,80074,1126
0.5,0.1,79230,1121
0.5,0.1,77250,1112
0.5,0.1,77950,1108
0.5,0.1,77498,1120
0.5,0.1,77112,1102
0.5,0.1,69960,1108
0.5,0.1,78302,1105
0.5,0.1,79599,1128
0.5,0.1,67166,1103
0.5,0.1,80442,1114
0.5,0.1,73166,1096
0.5,0.1,73001,1114
0.5,0.1,76402,1101
0.5,0.1,1,1
0.5,0.1,79203,1130
0.5,0.1,74075,1118
0.5,0.1,77820,1113
0.5,0.1,78602,1125
0.5,0.1,72664,1112
0.5,0.1,79023,1117
0.5,0.1,78162,1101
0.5,0.1,78270,1122
0.5,0.1,78267,1123
0.5,0.1,79122,1093
0.5,0.1,77188,1094
0.5,0.1,78783,1110
0.5,0.1,75953,1130
0.5,0.1,79146,1119
0.5,0.1,79249,1134
0.5,0.1,80778,1125
0.5,0.1,69431,1127
0.5,0.1,78976,1130
0.5,0.1,130,3
0.5,0.1,79230,1129
0.5,0.1,78632,1125
0.5,0.1,77316,1105
0.5,0.1,72597,1107
0.5,0.1,77892,1110
0.5,0.1,77843,1118
0.5,0.1,76137,1119
0.5,0.1,1,1
0.5,0.1,1,1
0.5,0.1,73710,1113
0.5,0.1,75794,1122
0.5,0.1,1,1
0.5,0.1,80160,1109
0.5,0.1,77757,1113
0.5,0.1,79104,1125
0.5,0.1,62730,1135
0.5,0.1,80988,1119
0.5,0.1,80177,1118
0.5,0.1,79348,1120
0.5,0.1,77317,1112
0.5,0.1,79742,1142
0.5,0.1,70527,1120
0.5,0.1,79177,1113
0.5,0.1,78660,1119
0.5,0.1,78593,1114
0.5,0.1,79451,1119
0.5,0.1,78820,1110
0.5,0.25,52767,812
0.5,0.25,1,1
0.5,0.25,53459,797
0.5,0.25,48080,762
0.5,0.25,1,1
0.5,0.25,48016,707
0.5,0.25,109,2
0.5,0.25,43774,660
0.5,0.25,47848,761
0.5,0.25,41971,693
0.5,0.25,400,13
0.5,0.25,1,1
0.5,0.25,139,3
0.5,0.25,46115,772
0.5,0.25,706,12
0.5,0.25,48557,797
0.5,0.25,53818,817
0.5,0.25,42665,768
0.5,0.25,1,1
0.5,0.25,51397,805
0.5,0.25,51301,765
0.5,0.25,36174,744
0.5,0.25,44882,728
0.5,0.25,52959,793
0.5,0.25,44941,720
0.5,0.25,51664,775
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,49064,779
0.5,0.25,48586,732
0.5,0.25,48607,785
0.5,0.25,49748,740
0.5,0.25,1,1
0.5,0.25,49182,766
0.5,0.25,31412,745
0.5,0.25,1,1
0.5,0.25,13355,180
0.5,0.25,48879,792
0.5,0.25,1,1
0.5,0.25,47165,737
0.5,0.25,181,3
0.5,0.25,1,1
0.5,0.25,40181,700
0.5,0.25,45682,704
0.5,0.25,46909,778
0.5,0.25,50198,794
0.5,0.25,1,1
0.5,0.25,51346,799
0.5,0.25,1,1
0.5,0.25,45611,760
0.5,0.25,49322,785
0.5,0.25,52324,821
0.5,0.25,51827,765
0.5,0.25,41883,646
0.5,0.25,47544,720
0.5,0.25,40554,819
0.5,0.25,45200,694
0.5,0.25,1,1
0.5,0.25,49601,792
0.5,0.25,44866,700
0.5,0.25,46513,722
0.5,0.25,49453,823
0.5,0.25,47544,805
0.5,0.25,1,1
0.5,0.25,53370,808
0.5,0.25,4005,69
0.5,0.25,49461,748
0.5,0.25,102,3
0.5,0.25,41670,652
0.5,0.25,52348,801
0.5,0.25,1,1
0.5,0.25,50713,761
0.5,0.25,46318,683
0.5,0.25,47965,715
0.5,0.25,43226,715
0.5,0.25,1,1
0.5,0.25,49287,748
0.5,0.25,103,2
0.5,0.25,47505,813
0.5,0.25,45192,704
0.5,0.25,40174,759
0.5,0.25,50030,793
0.5,0.25,45181,691
0.5,0.25,28524,414
0.5,0.25,45621,770
0.5,0.25,1,1
0.5,0.25,43178,676
0.5,0.25,52580,799
0.5,0.25,1,1
0.5,0.25,47735,730
0.5,0.25,109,2
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,1,1
0.5,0.25,52813,795
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,6121,96
0.5,0.5,1,1
0.5,0.5,2567,37
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,3147,50
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,100,2
0.5,0.5,4388,70
0.5,0.5,8502,130
0.5,0.5,126,3
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,134,3
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1654,32
0.5,0.5,9703,140
0.5,0.5,1632,24
0.5,0.5,4861,73
0.5,0.5,1,1
0.5,0.5,4193,61
0.5,0.5,1,1
0.5,0.5,211,5
0.5,0.5,2178,31
0.5,0.5,7128,112
0.5,0.5,1,1
0.5,0.5,9637,138
0.5,0.5,1,1
0.5,0.5,7447,131
0.5,0.5,622,9
0.5,0.5,2486,43
0.5,0.5,7402,113
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,4384,64
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,629,13
0.5,0.5,1,1
0.5,0.5,1858,27
0.5,0.5,10617,191
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,2946,42
0.5,0.5,342,5
0.5,0.5,1,1
0.5,0.5,109,2
0.5,0.5,3573,50
0.5,0.5,7651,160
0.5,0.5,6476,95
0.5,0.5,6568,95
0.5,0.5,14514,232
0.5,0.5,299,5
0.5,0.5,105,2
0.5,0.5,5057,68
0.5,0.5,98,2
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,51,2
0.5,0.5,95,2
0.5,0.5,1,1
0.5,0.5,4131,58
0.5,0.5,3593,49
0.5,0.5,188,3
0.5,0.5,2123,33
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,264,5
0.5,0.5,394,7
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,11727,210
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,5926,98
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,103,2
0.5,0.5,1,1
0.5,0.5,677,20
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,2570,38
0.5,0.5,3327,49
0.5,0.5,2572,37
0.5,0.5,309,7
0.5,0.5,1024,15
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1352,20
